,7Li (KED_IS),23Na (KED_IS),24Mg (KED_IS),27Al (KED_IS),29Si (KED_IS),39K (KED_IS),44Ca (KED_IS),48Ti (KED_IS),52Cr (KED_IS),55Mn (KED_IS),56Fe (KED_IS),59Co (KED_IS),60Ni (KED_IS),63Cu (KED_IS),66Zn (KED_IS),88Sr (KED_IS),95Mo (KED_IS),111Cd (KED_IS),137Ba (KED_IS),208Pb (KED_IS)
67A_Disk_t4_Tot,10.91267656,185689.9619,7475.854989,23471.46524,938.9032236,1286.414813,3271.040869,32.48100354,3.30773259,93.14898959,878.7055443,4.575949677,20.95949148,3.564523878,582.5827585,55.58731172,0.550906666,0.099162791,49.33395548,0.552859443
67A_Disk_t7_Tot,7.262260373,201688.3112,9179.985686,54.78188603,806.9362718,1288.245726,4214.736411,36.54009068,0.982133886,128.4421447,843.7960772,6.101854267,11.77479851,1.154334006,858.6846419,69.87926856,0.633688079,0.176355157,32.95825192,0.586085522
67A_Disk_t9_Tot,6.401898631,186828.0802,10219.30339,3548.552265,928.7129055,1371.546971,4393.346631,38.38804762,1.523733436,153.1555831,842.8886103,6.465910885,14.61096689,1.043032109,883.7191149,69.55862904,0.873188411,0.284719841,30.6598085,0.461117059
67A_Disk_t15_Tot,9.082062546,201430.8468,13512.68538,58.76025104,987.1010375,1473.208989,5816.040147,55.36879463,2.418117775,198.583397,814.0159004,8.413749315,13.30989316,0.989131108,1188.27182,83.86719853,2.299250434,0.100430564,33.15192942,0.390469434
67A_Disk_t18_Tot,7.036296275,186974.2744,14091.50794,68.08367014,1147.409698,1433.1164,6550.326224,56.76998919,26.08594735,237.8449038,1028.68091,10.01379534,44.11971936,1.031316651,1289.949193,83.49147837,1.985174809,0.1075035,34.60506114,0.389793543
67A_Disk_t23_Tot,6.192835492,204319.8082,17628.94733,68.18442933,1217.722429,1542.912928,8057.950597,68.73616965,6.689843558,293.9616256,888.6133105,10.45379527,22.06972985,2.901721681,1725.061552,101.3041294,1.071127449,0.110536564,49.53627349,0.424547881
,,,,,,,,,,,,,,,,,,,,
BLANK,1.728,49.233,8.875,6.686,97.118,100.536,52.207,0.482,0.107,0.227,2.295,0.059,0.376,6.691,6.960,0.187,0.195,0.012,1.265,0.398
63A_Disk_t0_Tot,8.001045517,191083.7816,41.27473804,63.17725048,866.0854635,932.0888679,267.2007928,2.866504017,0.458229972,2.014574423,13.94030657,0.235515885,2.410984693,2.852271787,362.4611787,2.149193775,1.394213493,0.07216087,73.09375679,0.183288774
63A_Disk_t0.5_Tot,6.365283001,192938.312,2756.352408,4078.944328,730.5653441,1126.671757,1399.097573,12.60326273,1.32366894,31.78277312,530.8006028,0.929050166,4.990218126,3.548756394,415.3508382,23.33426676,1.337531109,0.111040097,41.62071046,0.617023165
