,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Mo,Cd,Ba,Pb
SH-60D_Disk_t23_Tot,0.006,363.903,2.357,0.081,1.137,2.996,0.865,0.011,0,0.001,0.022,0,0.002,0.001,0.036,0.022,0.007,0,0.09,0.001
,,,,,,,,,,,,,,,,,,,,
BLANK,0.001,0.055,0.005,0.005,0.046,0.029,0.029,0,0,0.001,0.003,0,0,0.001,0.002,0,0,0,0.002,0
SH-64D_Disk_t0_Tot,0.004,375.229,0.022,0.038,0.365,4.696,0.065,0.001,0,0.001,0.01,0,0.001,0.001,0.155,0.001,0.009,0,0.024,0.001
SH-64D_Disk_t0.5_Tot,0.004,374.199,0.792,0.511,0.55,4.39,0.346,0.005,0,0.001,0.013,0,0.002,0.001,0.154,0.008,0.009,0,0.026,0.001
SH-64D_Disk_t1_Tot,0.004,383.96,1.23,0.165,0.576,4.19,0.503,0.006,0,0.002,0.012,0,0.001,0.001,0.115,0.011,0.009,0,0.034,0.001
SH-64D_Disk_t2_Tot,0.005,366.11,1.396,0.022,0.649,4.114,0.531,0.006,0,0.002,0.015,0,0.001,0,0.073,0.012,0.009,0,0.02,0
SH-64D_Disk_t3_Tot,0.005,372.49,1.51,0.059,0.503,4.113,0.523,0.007,0.001,0.002,0.014,0,0.001,0.001,0.078,0.012,0.009,0,0.021,0.001
SH-64D_Disk_t4_Tot,0.003,365.641,1.62,0.074,0.743,4.039,0.562,0.008,0,0.002,0.015,0,0.001,0.001,0.025,0.013,0.01,0,0.022,0.001
SH-64D_Disk_t7_Tot,0.004,378.081,1.892,0.127,0.489,4.092,0.65,0.009,0,0.001,0.011,0,0.001,0.001,0.022,0.014,0.01,0,0.025,0.001
SH-64D_Disk_t9_Tot,0.005,365.598,2.045,0.335,0.586,3.968,0.654,0.009,0.001,0.002,0.046,0,0.002,0.001,0.488,0.015,0.009,0,0.03,0.001
SH-64D_Disk_t15_Tot,0.004,381.352,2.316,0.241,0.545,4.158,0.768,0.01,0,0.002,0.011,0,0.001,0.001,0.028,0.016,0.01,0,0.024,0.001
SH-64D_Disk_t18_Tot,0.003,375.641,2.501,0.127,0.844,4.197,0.836,0.01,0,0.001,0.012,0,0.001,0.001,0.019,0.017,0.01,0,0.032,0.001
SH-64D_Disk_t23_Tot,0.004,383.15,2.795,0.04,0.811,4.186,1.001,0.012,0,0.002,0.018,0,0.001,0.001,0.027,0.018,0.01,0,0.028,0.001
,,,,,,,,,,,,,,,,,,,,
BLANK,0.001,0.057,0.004,0.011,0.048,0.029,0.015,0,0,0,0.002,0,0,0.001,0.001,0,0,0,0.002,0
SH-60A_Disk_t0_Tot,0.002,176.145,0.022,0.025,0.495,0.19,0.088,0.001,0,0.001,0.012,0,0.002,0.001,0.279,0.001,0.001,0,0.025,0.002
SH-60A_Disk_t0.5_Tot,0.002,181.626,2.766,0.05,0.515,0.66,0.911,0.011,0.001,0.004,0.022,0,0.002,0.001,0.407,0.014,0.001,0,0.058,0.002
SH-60A_Disk_t1_Tot,0.003,172.874,5.483,0.062,0.396,0.701,1.669,0.022,0.001,0.008,0.024,0,0.002,0.001,0.468,0.027,0.001,0,0.107,0.001
SH-60A_Disk_t2_Tot,0.004,186.597,7.609,0.042,0.541,0.756,2.216,0.029,0,0.01,0.024,0,0.001,0.001,0.542,0.032,0.001,0,0.131,0.001
SH-60A_Disk_t3_Tot,0.003,185.328,8.96,0.041,0.588,0.8,2.64,0.033,0,0.011,0.022,0,0.002,0.001,0.502,0.036,0.001,0,0.17,0.001
