,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
C4-67D Disk t0.5,1.727,177374.405,382.281,25.092,1319.971,422.896,223.186,4.650,9.548,2.547,61.253,0.423,10.336,0.665,124.955,0.013,8.254,1.099,0.060,8.832,2.231
C4-67D Disk t1,2.354,172471.990,610.950,29.889,1491.510,562.777,287.463,3.962,0.863,3.145,18.551,0.293,3.392,1.428,152.925,0.090,11.806,1.309,0.106,8.480,2.070
C4-67D Disk t2,1.833,176361.444,783.692,38.510,1598.655,496.955,373.119,5.092,3.997,4.144,48.765,0.448,3.783,1.079,55.630,0.027,14.304,1.279,0.082,7.240,2.138
C4-67D Disk t3,3.353,177784.256,928.184,70.415,1307.729,521.778,442.157,6.694,1.088,4.064,25.501,0.456,2.988,0.946,90.208,0.054,15.352,1.194,0.081,9.500,2.135
C4-67D Disk t4,3.676,177643.416,1024.624,52.838,1349.159,542.322,425.377,5.555,38.899,7.682,246.664,1.264,32.647,1.598,99.297,0.055,17.035,2.155,0.079,9.179,2.079
C4-67D Disk t7,3.093,175596.416,1254.292,43.761,1413.007,578.200,545.677,6.846,10.763,4.654,82.812,0.978,9.748,1.247,58.296,0.146,20.314,1.737,0.057,10.852,2.162
C4-67D Disk t9,3.567,172568.408,1392.931,61.611,1422.066,608.290,597.477,9.354,6.392,4.493,65.367,1.065,3.159,1.079,27.081,0.081,21.375,1.713,0.062,9.080,2.259
C4-67D Disk t15,3.306,177172.108,1693.856,71.409,1562.960,595.080,758.522,11.023,13.173,6.541,147.628,1.630,14.113,1.206,36.477,0.081,25.127,1.885,0.078,8.470,2.563
C4-67D Disk t18,2.980,168668.337,1807.099,117.132,1718.771,636.496,797.383,10.503,6.463,6.645,92.374,1.699,4.324,3.601,33.084,0.080,26.699,1.873,0.103,10.536,2.590
C4-67D Disk t23,3.224,173300.776,2034.238,102.520,1877.273,683.671,908.704,13.747,6.212,6.272,87.158,1.929,4.170,1.028,34.631,0.132,29.573,2.010,0.093,10.532,2.577
C4-67D Disk t42,4.164,174221.712,2578.740,116.605,1906.389,719.244,1153.237,16.588,5.472,8.318,128.514,3.057,4.243,1.199,38.182,0.160,36.358,2.426,0.137,42.946,2.515
,,,,,,,,,,,,,,,,,,,,,
Blank,0.397,56.542,3.293,5.374,171.613,33.622,12.934,0.274,0.179,0.090,2.403,0.028,0.275,0.203,0.853,0.005,0.083,0.125,0.014,0.544,0.478
SH64A Disk t0,1.722,198430.672,39.325,32.146,1147.018,62917.922,139.367,2.316,0.885,1.722,18.018,7.654,5.440,1.665,88.217,0.080,1.303,16.483,0.891,37.661,5.384
SH64A Disk t0.5,2.645,180187.284,1007.658,22.544,1238.308,384.751,432.903,5.364,0.762,7.204,28.912,0.314,1.967,0.584,256.687,0.026,7.024,0.860,0.490,20.654,3.313
SH64A Disk t1,4.234,188408.560,2430.382,31.413,1148.029,450.365,821.024,10.681,0.886,13.943,28.894,0.522,2.096,1.190,297.357,0.013,13.543,0.850,0.394,43.734,2.233
SH64A Disk t2,1.861,183565.935,3182.481,39.815,1249.944,446.628,1120.098,13.104,0.794,16.571,30.814,0.571,2.323,2.398,361.829,0.026,17.088,0.774,0.376,53.738,2.124
